Year,Kasilof.Gillnet,Kasilof.Dipnet,Kenai.Dipnet,Kasilof.Sport.Below.Sonar,Kasilof.Sport.Above.Sonar,Kenai.Sport.Below.Sonar,Kenai.Sport.Above.Sonar,Fish.Creek.PU
1981,,,,443,,3116,40325,
1982,,,,653,,6922,53501,
1983,,,,1863,,13577,73690,
1984,,,,3212,,2613,35176,
1985,,,,1903,,8835,107136,
1986,,,,2171,,12522,90699,
1987,,,,10872,,50274,233958,
1988,,,,2365,,29345,144093,
1989,,,,4632,,29345,144093,
1990,,,,971,,66162,268958,
1991,,,,5216,,19657,155742,
1992,,,,3501,,31536,227697,
1993,,,,2308,,47622,222482,
1994,,,,2489,,27742,137229,
1995,,,,3535,,17954,102378,
1996,9506,11197,102821,2502,,29451,108076,17260
1997,17997,9737,114619,4128,,39810,166166,3277
1998,15975,45161,103847,3449,,43642,147057,4036
1999,12832,37176,149504,4654,,33980,155905,1083
2000,14774,23877,98262,5599,,57978,203801,6925
2001,17201,37612,150766,6005,,51374,168104,436
2002,17980,46769,180028,4424,,46693,213066,0
2003,15706,43870,223580,5971,,60722,253734,0
2004,25417,48315,262831,7407,,62397,254836,0
2005,26609,43151,295496,5982,,58017,254818,0
2006,28867,56144,127630,7723,,30964,172638,0
2007,14943,43293,291270,3843,,60623,265718,0
2008,23432,54051,234109,7470,,46053,208526,0
2009,26646,73035,339993,6763,,45868,241999,9898
2010,21924,70774,389552,4470,,59651,256624,23705
2011,26780,49766,537765,8182,,92225,318542,5236
2012,15638,73419,526992,6740,,102376,368720,0
2013,14439,85508,347222,12257,,78837,379685,0
2014,22567,88513,379823,19819,,78057,301998,5829
2015,27567,89000,377532,15553,,83112,309004,19260
2016,26539,58273,259057,6119,,79465,263704,0
2017,21927,78260,297049,5055,,67233,237434,4894
2018,14390,92034,165028,11984,,41122,149000,18659
2019,15864,80730,331408,12921,,103700,392023,15886
2020,14745,94064,257864,14336,,62665,208625,28109
2021,18212,96454,326491,25543,,138740,438452,14558
2022,6329,158734,282085,32967,,100802,367199,35656
2023,,171717,325887,36094,,127425,458560,20891
